327|20190707T093517+0100|6lzq0qzs-omqd-0v7m-2fjs-lvrokieoivxl|0|96
475|20190707T010000+0100|yw3yulg3-r1mz-jthv-uvmi-6mxntkqr4otw|6|29
350|20190707T132627+0100|6lzq0qzs-omqd-0v7m-2fjs-lvrokieoivxl|1|23
417|20190707T171738+0100|yw3yulg3-r1mz-jthv-uvmi-6mxntkqr4otw|9|82
223|20190707T120424+0200|6lzq0qzs-omqd-0v7m-2fjs-lvrokieoivxl|4|72
486|20190707T120424+0200|yfr109yd-fp2f-hmo6-jabn-ur8amu9awhxf|1|80
346|20190707T003052+0200|uhqgebvd-xszc-saia-p0t8-89yrb2gidu5t|7|34
291|20190707T210849+0100|uhqgebvd-xszc-saia-p0t8-89yrb2gidu5t|8|82
259|20190707T010000+0100|yw3yulg3-r1mz-jthv-uvmi-6mxntkqr4otw|1|91
499|20190707T093517+0100|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|6|64
50|20190707T093517+0100|yw3yulg3-r1mz-jthv-uvmi-6mxntkqr4otw|0|57
55|20190707T081313+0200|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|3|20
358|20190707T081313+0200|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|7|43
418|20190707T132627+0100|yw3yulg3-r1mz-jthv-uvmi-6mxntkqr4otw|9|11
0|20190707T171738+0100|uhqgebvd-xszc-saia-p0t8-89yrb2gidu5t|1|89
327|20190707T081313+0200|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|9|58
494|20190707T081313+0200|uhqgebvd-xszc-saia-p0t8-89yrb2gidu5t|1|44
110|20190707T042203+0200|uhqgebvd-xszc-saia-p0t8-89yrb2gidu5t|3|19
179|20190707T120424+0200|6lzq0qzs-omqd-0v7m-2fjs-lvrokieoivxl|2|43
135|20190707T003052+0200|yw3yulg3-r1mz-jthv-uvmi-6mxntkqr4otw|4|13
98|20190707T171738+0100|yw3yulg3-r1mz-jthv-uvmi-6mxntkqr4otw|4|69
13|20190707T203941+0200|6lzq0qzs-omqd-0v7m-2fjs-lvrokieoivxl|2|12
280|20190707T042203+0200|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|4|5
55|20190707T171738+0100|yfr109yd-fp2f-hmo6-jabn-ur8amu9awhxf|6|56
248|20190707T132627+0100|6lzq0qzs-omqd-0v7m-2fjs-lvrokieoivxl|1|93
446|20190707T132627+0100|yfr109yd-fp2f-hmo6-jabn-ur8amu9awhxf|9|66
422|20190707T132627+0100|uhqgebvd-xszc-saia-p0t8-89yrb2gidu5t|2|75
100|20190707T210849+0100|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|5|75
490|20190707T171738+0100|yw3yulg3-r1mz-jthv-uvmi-6mxntkqr4otw|9|38
148|20190707T132627+0100|uhqgebvd-xszc-saia-p0t8-89yrb2gidu5t|0|92
191|20190707T132627+0100|yw3yulg3-r1mz-jthv-uvmi-6mxntkqr4otw|0|64
498|20190707T093517+0100|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|6|24
458|20190707T093517+0100|yfr109yd-fp2f-hmo6-jabn-ur8amu9awhxf|0|94
49|20190707T210849+0100|yw3yulg3-r1mz-jthv-uvmi-6mxntkqr4otw|5|4
443|20190707T171738+0100|yfr109yd-fp2f-hmo6-jabn-ur8amu9awhxf|2|30
324|20190707T210849+0100|uhqgebvd-xszc-saia-p0t8-89yrb2gidu5t|3|52
1|20190707T203941+0200|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|6|25
116|20190707T093517+0100|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|5|28
26|20190707T120424+0200|yw3yulg3-r1mz-jthv-uvmi-6mxntkqr4otw|1|72
149|20190707T120424+0200|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|8|96
220|20190707T081313+0200|6lzq0qzs-omqd-0v7m-2fjs-lvrokieoivxl|7|95
38|20190707T210849+0100|yfr109yd-fp2f-hmo6-jabn-ur8amu9awhxf|6|14
236|20190707T203941+0200|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|0|81
20|20190707T203941+0200|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|3|2
377|20190707T081313+0200|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|3|23
409|20190707T042203+0200|6lzq0qzs-omqd-0v7m-2fjs-lvrokieoivxl|1|65
328|20190707T120424+0200|uhqgebvd-xszc-saia-p0t8-89yrb2gidu5t|2|4
175|20190707T210849+0100|yfr109yd-fp2f-hmo6-jabn-ur8amu9awhxf|2|80
312|20190707T003052+0200|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|8|17
248|20190707T010000+0100|yfr109yd-fp2f-hmo6-jabn-ur8amu9awhxf|7|66
322|20190707T171738+0100|yw3yulg3-r1mz-jthv-uvmi-6mxntkqr4otw|0|3
304|20190707T081313+0200|6lzq0qzs-omqd-0v7m-2fjs-lvrokieoivxl|7|64
63|20190707T120424+0200|yw3yulg3-r1mz-jthv-uvmi-6mxntkqr4otw|8|47
180|20190707T010000+0100|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|7|22
401|20190707T003052+0200|uhqgebvd-xszc-saia-p0t8-89yrb2gidu5t|2|47
244|20190707T210849+0100|6lzq0qzs-omqd-0v7m-2fjs-lvrokieoivxl|4|60
298|20190707T210849+0100|uhqgebvd-xszc-saia-p0t8-89yrb2gidu5t|9|33
425|20190707T093517+0100|yfr109yd-fp2f-hmo6-jabn-ur8amu9awhxf|0|54
59|20190707T093517+0100|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|4|97
119|20190707T093517+0100|cpy9kgi4-oaga-cg3l-qphz-je7a75bfpkk7|5|29
44|20190707T003052+0200|yw3yulg3-r1mz-jthv-uvmi-6mxntkqr4otw|6|56
278|20190707T093517+0100|6lzq0qzs-omqd-0v7m-2fjs-lvrokieoivxl|9|4
369|20190707T210849+0100|uhqgebvd-xszc-saia-p0t8-89yrb2gidu5t|0|59
132|20190707T010000+0100|yfr109yd-fp2f-hmo6-jabn-ur8amu9awhxf|5|79
363|20190707T081313+0200|yfr109yd-fp2f-hmo6-jabn-ur8amu9awhxf|3|66
101|20190707T120424+0200|uhqgebvd-xszc-saia-p0t8-89yrb2gidu5t|5|39
369|20190707T210849+0100|uhqgebvd-xszc-saia-p0t8-89yrb2gidu5t|9|44
